Time	a	ax	ay	az
t in s	a/m/s²	ax/m/s²	ay/m/s²	az/m/s²

3.4736842105263186	10.10	-0.49	-7.43	-6.83
3.526315789473687	9.81	-0.48	-7.11	-6.75
3.5789473684210558	9.74	-0.04	-6.72	-7.04
3.6315789473684243	9.65	0.06	-6.47	-7.16
3.684210526315793	9.72	0.00	-6.90	-6.85
3.7368421052631615	10.50	-0.11	-6.99	-7.83
3.78947368421053	10.42	-0.08	-7.27	-7.46
3.8421052631578987	10.11	-0.12	-7.44	-6.85
3.8947368421052673	8.73	0.08	-6.15	-6.20
3.947368421052636	9.37	-0.56	-6.55	-6.67
4.000000000000004	10.07	-0.68	-7.25	-6.95
4.052631578947373	9.94	-0.26	-7.14	-6.91
4.105263157894741	9.57	-0.08	-7.07	-6.45
4.157894736842109	10.38	-0.40	-7.77	-6.87
4.210526315789477	10.10	-0.29	-7.84	-6.36
4.263157894736845	10.09	-0.39	-7.85	-6.33
4.315789473684213	9.66	0.03	-7.41	-6.20
4.368421052631581	10.28	-0.46	-7.07	-7.45
4.42105263157895	9.92	-0.40	-6.61	-7.38
4.473684210526318	9.59	-0.69	-6.92	-6.61
4.526315789473686	9.69	0.03	-6.41	-7.26
4.578947368421054	9.68	-0.04	-6.41	-7.24
4.631578947368422	10.38	-0.40	-7.26	-7.41
4.68421052631579	10.23	-0.44	-7.59	-6.85
4.736842105263158	10.84	-0.54	-7.68	-7.63
4.7894736842105265	10.29	-0.19	-6.95	-7.59
4.842105263157895	9.44	-0.39	-6.77	-6.58
4.894736842105263	9.05	-0.18	-6.03	-6.75
4.947368421052631	9.98	-0.41	-6.78	-7.32
4.999999999999999	10.16	-0.38	-7.51	-6.83
5.052631578947367	9.84	-0.37	-7.80	-5.98
5.105263157894735	10.30	-0.34	-8.02	-6.45
5.1578947368421035	10.53	-0.66	-8.21	-6.57
5.210526315789472	11.38	-0.95	-7.89	-8.15
5.26315789473684	9.83	-0.20	-7.11	-6.79
5.315789473684208	9.43	-0.48	-7.34	-5.90
5.368421052631576	9.97	-0.63	-7.44	-6.60
5.421052631578944	10.10	-0.69	-7.51	-6.72
5.473684210526312	10.46	-0.97	-7.68	-7.04
5.5263157894736805	10.84	-0.53	-7.52	-7.79
5.578947368421049	10.33	-0.74	-8.00	-6.49
5.631578947368417	8.79	-0.03	-7.43	-4.70
5.684210526315785	10.17	-0.37	-7.17	-7.20
5.736842105263153	10.22	-0.59	-6.83	-7.58
5.789473684210521	10.10	-0.59	-6.97	-7.29
5.842105263157889	10.41	0.19	-7.13	-7.58
5.8947368421052575	11.37	-0.31	-7.75	-8.31
5.947368421052626	9.96	-0.49	-7.80	-6.17
5.999999999999994	10.20	-0.05	-7.31	-7.12
