t in s;r_x (m);r_y (m);r_z (m);v_x (m/s);v_y (m/s);v_z (m/s);a_x (m/s2);a_y (m/s2);a_z (m/s2);der(3)(r_x) (m/s3);der(3)(r_y) (m/s3);der(3)(r_z) (m/s3)
17.552631578947356;104.06048194723154;-1198.4984391848466;-1074.300438753718;11.291616583383139;-137.2227377428348;-121.77640518349527;1.4566666666666663;-6.753333333333334;-7.120555555555555;0.6777777777777556;1.164999999999961;-0.5999999999999813
18.526315789473696;115.47521126975738;-1335.6314944926512;-1196.1687970337039;12.154854457480168;-144.45597045697326;-128.54779020241529;0.3164705882352941;-8.104117647058825;-6.788235294117648;-1.1710121886592182;-1.3872919978801996;0.34130189012540957
19.50000000000004;127.53150055756673;-1480.1218744976486;-1324.5251375604903;12.609415430992392;-152.33508036409424;-135.10307142016572;0.6172222222222222;-8.080000000000002;-6.676666666666666;0.3088800565271066;0.024769475357709313;0.11458399576046469
20.500000000000068;140.50355487744838;-1636.3768159728584;-1463.1127923139934;13.33469320877019;-160.17480258631667;-142.07223808683258;0.8333333333333335;-7.599444444444443;-7.261666666666668;0.21611111111110512;0.4805555555555451;-0.5849999999999851
21.500000000000085;154.30616475288548;-1800.3017574480668;-1608.7925304008286;14.27052654210354;-167.67508036409458;-149.2872380868327;1.038333333333333;-7.401111111111112;-7.168333333333332;0.204999999999996;0.19833333333332795;0.09333333333333384
22.500000000000124;169.07294129498962;-1971.7915600343904;-1761.8462962654453;15.263026542103578;-175.30452480853933;-156.82029364238855;0.9466666666666668;-7.857777777777778;-7.897777777777778;-0.09166666666666276;-0.4566666666666483;-0.7294444444444171
23.500000000000156;184.8113845037604;-2150.9987237318246;-1922.5428399078392;16.213859875436942;-183.10980258631736;-164.5727936423888;0.9549999999999998;-7.752777777777778;-7.607222222222222;0.008333333333332815;0.10499999999999618;0.2905555555555464
24.50000000000018;201.45191104586442;-2338.0714429848135;-2090.643550216899;17.067193208770295;-191.0356359196509;-171.6286269757223;0.7516666666666665;-8.09888888888889;-6.504444444444445;-0.20333333333332831;-0.3461111111111033;1.1027777777777494
25.50000000000021;218.82854869907968;-2533.164856682248;-2265.6168994148484;17.686082097659202;-199.1511914752067;-178.31807142016694;0.4861111111111111;-8.132222222222222;-6.874444444444445;-0.26555555555554783;-0.03333333333333049;-0.3699999999999896
26.500000000000238;236.75421413007274;-2736.3042426019047;-2447.3263597239093;18.165248764325884;-207.12758036409582;-185.1008491979449;0.4722222222222224;-7.820555555555557;-6.691111111111113;-0.013888888888888333;0.3116666666666559;0.18333333333332746
27.500000000000266;254.99724067217693;-2947.5215451882286;-2635.8013755885263;18.320804319881443;-215.3070248085405;-191.84918253127844;-0.16111111111111118;-8.538333333333334;-6.8055555555555545;-0.6333333333333155;-0.7177777777777568;-0.11444444444443866
28.50000000000029;273.56665610317;-3166.746764441219;-2831.171113675365;18.818026542103677;-223.14341369742957;-198.89029364238974;1.1555555555555557;-7.134444444444443;-7.276666666666666;1.3166666666666342;1.4038888888888559;-0.4711111111111002
29.50000000000033;292.8023215341633;-3393.52615036088;-3033.692240651096;19.65330431988149;-230.4153581418743;-206.15196030905668;0.515;-7.4094444444444445;-7.246666666666667;-0.6405555555555307;-0.2749999999999905;0.029999999999998188
30.50000000000036;312.7536814096009;-3627.6137307249833;-3243.464339849048;20.249415430992617;-237.75980258631895;-213.39223808683465;0.6772222222222223;-7.2794444444444455;-7.233888888888888;0.16222222222221766;0.1299999999999953;0.012777777777778524
31.500000000000377;333.3843468405939;-3869.023394422418;-3460.466022380331;21.01191543099263;-245.0595248085413;-220.61112697572366;0.8477777777777779;-7.3199999999999985;-7.20388888888889;0.17055555555555255;-0.04055555555555229;0.029999999999997938
32.5000000000004;354.7768178271425;-4117.7738914531865;-3684.6536771338374;21.773026542103757;-252.4414692529859;-227.76418253127937;0.6744444444444445;-7.443888888888887;-7.102222222222222;-0.17333333333332965;-0.12388888888888608;0.1016666666666653
33.500000000000426;376.8323443692469;-4373.944666261736;-3916.052165220679;22.338026542103773;-259.9000803640972;-235.0327936423907;0.4555555555555557;-7.473333333333333;-7.434999999999999;-0.21888888888888258;-0.02944444444444466;-0.33277777777776707
34.50000000000048;399.4250931335742;-4637.765302181404;-4154.771208863083;22.847470986548245;-267.7411914752088;-242.40529364239111;0.5633333333333334;-8.208888888888888;-7.309999999999999;0.10777777777777152;-0.7355555555555132;0.1249999999999929
35.500000000000476;422.4783974534556;-4909.530104767722;-4400.73066917214;23.25913765321491;-275.78841369743094;-249.5136269757244;0.25999999999999995;-7.8855555555555545;-6.906666666666667;-0.30333333333333556;0.3233333333333355;0.40333333333333443
36.500000000000504;445.97045177333786;-5189.207546242939;-4653.759851703427;23.724970986548257;-283.56646925298674;-256.5447380868357;0.6716666666666666;-7.670555555555557;-7.155555555555557;0.41166666666665497;0.2149999999999911;-0.24888888888888253
37.50000000000054;469.9873672043314;-5476.613459940381;-4913.950423123605;24.308859875437168;-291.2453581418759;-263.8364047535026;0.4961111111111112;-7.687222222222223;-7.427777777777778;-0.17555555555554916;-0.016666666666665126;-0.2722222222222116
38.500000000000576;494.5924770797695;-5771.5814569711565;-5181.431272321562;24.90135987543719;-298.6906359196539;-271.1252936423918;0.6888888888888888;-7.203333333333335;-7.150000000000001;0.1927777777777707;0.48388888888887094;0.2777777777777669
39.500000000000604;519.8059202885407;-6073.888759557486;-5456.078510408406;25.525526542103876;-305.92396925298743;-278.1691825312809;0.5594444444444445;-7.263333333333334;-6.937777777777778;-0.12944444444444056;-0.059999999999997014;0.2122222222222174
40.50000000000064;545.68214127509;-6383.487867699374;-5737.882970717475;26.22691543099279;-313.2742470307655;-285.4397380868367;0.8433333333333333;-7.437222222222222;-7.6033333333333335;0.28388888888887864;-0.17388888888888235;-0.665555555555532
41.50000000000066;572.2904455949722;-6700.533781396813;-6026.923958804317;26.989693208770582;-320.817580364099;-292.64223808683687;0.6822222222222221;-7.649444444444446;-6.801666666666668;-0.16111111111110776;-0.2122222222222189;0.8016666666666488
42.50000000000068;599.5237499148544;-7025.161639538696;-6323.167724668939;27.476915430992815;-328.4381359196547;-299.84529364239256;0.2922222222222222;-7.591666666666668;-7.604444444444443;-0.3899999999999915;0.0577777777777767;-0.8027777777777583
43.50000000000072;627.1588597902927;-7357.40394212503;-6626.731768311342;27.793304319881713;-336.04646925298835;-307.28279364239285;0.3405555555555556;-7.625000000000003;-7.270555555555557;0.04833333333333168;-0.033333333333333805;0.33388888888887414
44.500000000000746;655.1896641101752;-7697.276661378028;-6937.682200842633;28.268304319881725;-343.69896925298855;-314.61807142017085;0.6094444444444442;-7.679999999999999;-7.400000000000001;0.26888888888888096;-0.0549999999999946;-0.12944444444444056
45.500000000000774;683.7822739856133;-8044.693547297693;-7255.909994485036;28.916915430992855;-351.1348025863221;-321.8375158646155;0.6877777777777779;-7.191666666666666;-7.038888888888889;0.07833333333333148;0.4883333333333185;0.3611111111111022
46.5000000000008;713.1228005277181;-8399.552099884026;-7581.382927016328;29.7641376532151;-358.5823025863223;-329.10834919794905;1.0066666666666668;-7.703333333333331;-7.502777777777778;0.31888888888887984;-0.5116666666666504;-0.46388888888887625
47.50000000000083;743.287077069823;-8762.001902470358;-7914.150165103175;30.564415430992902;-366.31730258632257;-336.426126975727;0.5938888888888889;-7.766666666666667;-7.132777777777778;-0.4127777777777662;-0.06333333333333344;0.3699999999999896
